Year,State,Total Revenue,Total Sales Tax,Total Tobacco Sales Tax,Total Alcohol Sales Tax,Total Marijuana Sales Tax,Tobacco's Share of Total Sales Tax %,Alchohol's Share of Total Sales Tax %,Marijuana's Share of Total Sales Tax %,
2013,California,1.4286E+11,23729375000,833126000,354297000,0,3.510947928,1.493073459,0,
2014,California,1.57875E+11,25756551000,832379000,357373000,0,3.231717632,1.387503319,0,
2015,California,1.61759E+11,26967969000,840034000,368699000,0,3.114932385,1.367173776,0,
2016,California,1.69384E+11,25187502000,1184961000,374608000,0,4.704559428,1.487277301,0,
2017,California,1.78441E+11,25155161000,2090908000,376735000,0,8.312043799,1.497644956,0,
2018,California,1.86865E+11,26044068500,2016725400,384975700,270280514,7.743511349,1.478170356,1.037781459,
2013,Nevada,7178000000,3893000000,103000000,41000000,0,2.645774467,1.053172361,0,
2014,Nevada,7287000000,4150000000,102000000,44000000,0,2.457831325,1.060240964,0,
2015,Nevada,7693000000,4412000000,150500000,45000000,0,3.411151405,1.019945603,0,
2016,Nevada,8550000000,5065000000,199000000,44000000,0,3.928923988,0.868706811,0, 
2017,Nevada,8883000000,5338000000,189000000,46000000,48972625,3.54065193,0.861745972,0.917433964,
2018,Nevada,2294000000,1361000000,44000000,12000000,20787159,3.232916973,0.881704629,1.527344526,
2013,Washington,17027696620,9812069282,450251161,366354214,0,4.588748286,3.73371002,0,
2014,Washington,17783750465,10376766088,438759872,321391923,0,4.228291052,3.097226248,0,
2015,Washington,18723684059,10962460332,445340673,329536544,0,4.062415366,3.006045486,0,
2016,Washington,20369675948,12144425370,443127837,345424906,185761741,3.648816832,2.844308359,1.529605027,
2017,Washington,22043169640,13223491210,430335781,355287646,314459754,3.25432803,2.686791562,2.378038817,
2010,Colorado,8546000000,2116000000,201000000,42000000,0,9.49905482,1.984877127,0,
2011,Colorado,9837000000,2838000000,201000000,43000000,0,7.082452431,1.515151515,0,
2012,Colorado,10622000000,2991000000,200000000,47000000,0,6.686726847,1.571380809,0,
2013,Colorado,11493000000,3156000000,196000000,48000000,0,6.210392902,1.520912548,0,
2014,Colorado,12333000000,3442000000,194000000,49000000,67594325,5.63625799,1.423590936,1.963809558,
2015,Colorado,12927000000,3663000000,198000000,49000000,130411174,5.405405405,1.337701338,3.56022861,
2016,Colorado,12936000000,3607000000,207000000,52000000,193604811,5.738841142,1.441641253,5.36747466,
2017,Colorado,13803000000,4069000000,195000000,53000000,247368474,4.792332268,1.302531334,6.07934318,
